Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,26-Sep-25,07-Oct-25,CE,24200,725,725,540.45,566.9,577.3,566.9,751,13955.31,324.66,43725,42750,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,26000,5.05,5.5,4.15,4.95,5,4.95,45884,894900.92,162.92,1505625,270075,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,24800,233.85,250.1,124.05,130.6,129.1,130.6,143124,2680372.98,18266.58,1296450,1070775,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,23000,1835,1863.35,1715,1726.7,1729.85,1726.7,38,704.86,49.36,17025,2850,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,25350,34.95,36.2,18.75,19.95,20,19.95,21327,405856.93,377.34,308400,25350,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,27050,1.55,2.35,1.3,1.65,1.3,1.65,37,750.69,0.05,1650,1350,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,25100,95.9,95.95,42.7,44.5,43.4,44.5,104274,1967663.31,4705.26,1637925,229275,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,26450,3.25,3.4,1.8,2.7,2.7,2.7,55,1091.17,0.11,900,900,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,22950,-,-,-,1795.8,-,1746.45,-,-,-,-,-,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,23550,1189.25,1189.45,1189.05,1189.25,1189.45,1189.25,3,55.66,2.67,225,225,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,27100,1.3,2.1,1.25,1.7,1.5,1.7,623,12663.21,0.73,25350,4875,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,23850,902.4,903.1,901.55,902.35,902.35,902.35,8,148.51,5.41,600,600,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,26300,2.95,3.7,2.55,3.35,2.7,3.35,4494,88654.95,10.8,136500,33225,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,24700,325,325,171.6,180.9,177.65,180.9,64796,1210533.82,10187.92,778650,715275,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,24550,421.45,422,261.9,275.55,277.2,275.55,2138,39858.29,492.37,39900,39525,24654.7
