ExpiryDate,OptionType,StrikePrice,OpenInterest,ChangeInOI,LTP,IV,OpenInterest_prev,IV_prev,OI_Daily_Change,IV_Daily_Change
28-Oct-2025,Put,22800,17341.0,-2144.0,1.0,90.39,19485.0,42.89,-2144.0,47.5
25-Nov-2025,Call,22800,232.0,157.0,3361.2,22.18,75.0,0.0,157.0,22.18
25-Nov-2025,Put,22800,522.0,76.0,7.6,22.36,446.0,21.17,76.0,1.1899999999999977
28-Oct-2025,Call,22850,2.0,-2.0,3151.05,132.54,4.0,0.0,-2.0,132.54
28-Oct-2025,Put,22850,338.0,16.0,0.85,87.62,322.0,41.47,16.0,46.150000000000006
04-Nov-2025,Call,22850,4.0,4.0,3125.0,0.0,0.0,0.0,4.0,0.0
04-Nov-2025,Put,22850,6628.0,4053.0,3.05,35.97,2575.0,28.96,4053.0,7.009999999999998
25-Nov-2025,Call,22850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-Nov-2025,Put,22850,64.0,0.0,10.4,0.0,64.0,21.14,0.0,-21.14
30-Dec-2025,Call,22850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Put,22850,56.0,0.0,28.2,0.0,56.0,0.0,0.0,0.0
28-Oct-2025,Call,22900,1.0,0.0,2857.1,0.0,1.0,0.0,0.0,0.0
28-Oct-2025,Put,22900,9993.0,-406.0,1.45,91.01,10399.0,41.75,-406.0,49.260000000000005
04-Nov-2025,Call,22900,3.0,3.0,3175.75,55.71,0.0,0.0,3.0,55.71
04-Nov-2025,Put,22900,3329.0,2927.0,3.4,35.89,402.0,27.68,2927.0,8.21
25-Nov-2025,Call,22900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-Nov-2025,Put,22900,237.0,6.0,9.0,22.27,231.0,20.4,6.0,1.870000000000001
30-Dec-2025,Call,22900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Put,22900,100.0,-4.0,27.1,18.99,104.0,18.2,-4.0,0.7899999999999991
28-Oct-2025,Call,22950,2.0,0.0,2952.35,0.0,2.0,0.0,0.0,0.0
28-Oct-2025,Put,22950,3363.0,-43.0,1.2,87.85,3406.0,40.61,-43.0,47.239999999999995
04-Nov-2025,Call,22950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-Nov-2025,Put,22950,78.0,39.0,2.8,34.54,39.0,28.46,39.0,6.079999999999998
25-Nov-2025,Call,22950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-Nov-2025,Put,22950,24.0,1.0,9.0,21.96,23.0,0.0,1.0,21.96
30-Dec-2025,Call,22950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Put,22950,45.0,0.0,48.55,0.0,45.0,0.0,0.0,0.0
28-Oct-2025,Call,23000,5767.0,-2642.0,3034.35,152.94,8409.0,0.0,-2642.0,152.94
28-Oct-2025,Put,23000,27532.0,-7166.0,1.5,88.49,34698.0,41.16,-7166.0,47.33
04-Nov-2025,Call,23000,283.0,260.0,3074.45,53.85,23.0,0.0,260.0,53.85
04-Nov-2025,Put,23000,12881.0,8485.0,3.95,35.45,4396.0,28.01,8485.0,7.440000000000001
25-Nov-2025,Call,23000,6407.0,1808.0,3167.35,22.51,4599.0,0.0,1808.0,22.51
25-Nov-2025,Put,23000,13582.0,1236.0,8.65,21.52,12346.0,19.72,1236.0,1.8000000000000007
30-Dec-2025,Call,23000,8510.666666666666,-36.0,3349.0,0.0,8546.666666666666,0.0,-36.0,0.0
30-Dec-2025,Put,23000,32183.666666666668,-174.0,32.0,19.08,32357.666666666668,17.92,-174.0,1.1599999999999966
31-Mar-2026,Call,23000,9.0,0.0,3866.6,0.0,9.0,0.0,0.0,0.0
31-Mar-2026,Put,23000,6581.0,-11.0,76.8,16.79,6592.0,16.49,-11.0,0.3000000000000007
30-Jun-2026,Put,23000,1745.0,-43.0,103.2,15.96,1788.0,15.65,-43.0,0.3100000000000005
29-Dec-2026,Call,23000,68.0,0.0,4900.0,0.0,68.0,0.0,0.0,0.0
29-Dec-2026,Put,23000,1235.3333333333333,30.0,245.0,18.14,1205.3333333333333,18.3,30.0,-0.16000000000000014
29-Jun-2027,Put,23000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-Dec-2027,Put,23000,35.0,-15.0,500.0,21.47,50.0,0.0,-15.0,21.47
27-Jun-2028,Put,23000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-Dec-2028,Put,23000,43.0,0.0,643.65,0.0,43.0,0.0,0.0,0.0
26-Jun-2029,Put,23000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-Dec-2029,Put,23000,34.0,0.0,477.85,21.8,34.0,0.0,0.0,21.8
25-Jun-2030,Put,23000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-Oct-2025,Call,23050,1.0,0.0,2708.5,0.0,1.0,0.0,0.0,0.0
28-Oct-2025,Put,23050,767.0,-118.0,0.9,82.65,885.0,40.28,-118.0,42.370000000000005
04-Nov-2025,Call,23050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-Nov-2025,Put,23050,14.0,14.0,4.0,34.96,0.0,0.0,14.0,34.96
25-Nov-2025,Call,23050,1.0,0.0,2837.7,0.0,1.0,0.0,0.0,0.0
25-Nov-2025,Put,23050,19.0,0.0,11.15,0.0,19.0,0.0,0.0,0.0
30-Dec-2025,Call,23050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Put,23050,25.0,0.0,35.95,0.0,25.0,0.0,0.0,0.0
28-Oct-2025,Call,23100,4.0,-3.0,2922.0,140.53,7.0,0.0,-3.0,140.53
28-Oct-2025,Put,23100,9841.0,137.0,1.55,85.95,9704.0,40.27,137.0,45.68
04-Nov-2025,Call,23100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-Nov-2025,Put,23100,143.0,29.0,4.75,35.17,114.0,25.98,29.0,9.190000000000001
25-Nov-2025,Call,23100,34.0,34.0,3050.0,0.0,0.0,0.0,34.0,0.0
25-Nov-2025,Put,23100,129.0,-1.0,9.45,21.16,130.0,19.72,-1.0,1.4400000000000013
30-Dec-2025,Call,23100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Put,23100,82.0,-2.0,27.0,18.01,84.0,17.42,-2.0,0.5899999999999999
28-Oct-2025,Call,23150,2.0,0.0,2747.6,0.0,2.0,0.0,0.0,0.0
28-Oct-2025,Put,23150,512.0,-207.0,1.4,83.61,719.0,37.67,-207.0,45.94
04-Nov-2025,Call,23150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-Nov-2025,Put,23150,143.0,129.0,3.1,32.81,14.0,26.63,129.0,6.180000000000003
25-Nov-2025,Call,23150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-Nov-2025,Put,23150,7.0,0.0,16.0,0.0,7.0,0.0,0.0,0.0
30-Dec-2025,Call,23150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Put,23150,30.0,0.0,42.05,0.0,30.0,0.0,0.0,0.0
28-Oct-2025,Call,23200,21.0,-115.0,2847.6,151.79,136.0,0.0,-115.0,151.79
28-Oct-2025,Put,23200,5326.0,255.0,1.3,81.57,5071.0,37.82,255.0,43.74999999999999
04-Nov-2025,Call,23200,5.0,5.0,2880.0,51.94,0.0,0.0,5.0,51.94
04-Nov-2025,Put,23200,252.0,118.0,3.85,33.15,134.0,25.96,118.0,7.189999999999998
25-Nov-2025,Call,23200,9.0,0.0,2680.0,0.0,9.0,0.0,0.0,0.0
25-Nov-2025,Put,23200,501.0,-8.0,10.75,20.94,509.0,19.43,-8.0,1.5100000000000016
30-Dec-2025,Call,23200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Put,23200,91.0,-6.0,28.85,17.75,97.0,18.26,-6.0,-0.5100000000000016
28-Oct-2025,Call,23250,0.0,0.0,1725.45,0.0,0.0,0.0,0.0,0.0
28-Oct-2025,Put,23250,2255.0,1909.0,1.15,79.15,346.0,39.54,1909.0,39.61000000000001
04-Nov-2025,Call,23250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-Nov-2025,Put,23250,39.0,-5.0,2.95,31.55,44.0,26.74,-5.0,4.810000000000002
25-Nov-2025,Call,23250,2.0,0.0,2643.55,0.0,2.0,0.0,0.0,0.0
