ExpiryDate,OptionType,StrikePrice,OpenInterest,ChangeInOI,LTP,IV,OpenInterest_prev,IV_prev,OI_Daily_Change,IV_Daily_Change,date
25-Nov-2025,Put,23300,108.0,9.0,43.5,13.94,108.0,13.94,0.0,0.0,2025-09-26
30-Sep-2025,Call,23350,5.0,0.0,1687.1,51.36,5.0,51.36,0.0,0.0,2025-09-26
30-Sep-2025,Put,23350,1250.0,197.0,1.1,22.13,1250.0,22.13,0.0,0.0,2025-09-26
07-Oct-2025,Call,23350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
07-Oct-2025,Put,23350,19.0,18.0,3.85,17.13,19.0,17.13,0.0,0.0,2025-09-26
14-Oct-2025,Call,23350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
14-Oct-2025,Put,23350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
20-Oct-2025,Call,23350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
20-Oct-2025,Put,23350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Call,23350,6.0,0.0,1646.15,0.0,6.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Put,23350,109.0,45.0,20.75,14.63,109.0,14.63,0.0,0.0,2025-09-26
04-Nov-2025,Put,23350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
25-Nov-2025,Call,23350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
25-Nov-2025,Put,23350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Call,23400,87.0,-2.0,1626.5,48.46,87.0,48.46,0.0,0.0,2025-09-26
30-Sep-2025,Put,23400,6847.0,2485.0,1.2,21.7,6847.0,21.7,0.0,0.0,2025-09-26
07-Oct-2025,Call,23400,1.0,1.0,1680.05,32.88,1.0,32.88,0.0,0.0,2025-09-26
07-Oct-2025,Put,23400,154.0,75.0,4.15,16.84,154.0,16.84,0.0,0.0,2025-09-26
